"","UsageClass","CheckoutType","MaterialType","CheckoutYear","CheckoutMonth","Checkouts","Title","ISBN","Creator","Subjects","Publisher","PublicationYear"
"1","Digital","OverDrive","AUDIOBOOK",2017,1,23,"The Blood of Olympus: The Heroes of Olympus Series, Book 5 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2014"
"2","Physical","Horizon","BOOK",2017,1,12,"The demigod files / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Monsters Juvenile fiction, Animals Mythical Juvenile fiction, Fantasy Fiction","Hyperion Books for Children,","2009"
"3","Digital","OverDrive","EBOOK",2017,1,12,"The Titan's Curse: Percy Jackson and the Olympians, Book 3","","Rick Riordan","Mythology, Young Adult Fiction","Disney Digital Books","2011"
"4","Physical","Horizon","BOOK",2017,1,16,"The battle of the Labyrinth / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Labyrinths Juvenile fiction, Camps Juvenile fiction, Monsters Juvenile fiction, Animals Mythical Juvenile fiction, Titans Mythology Juvenile fiction","Hyperion Books for Children,","2008"
"5","Physical","Horizon","BOOK",2017,1,13,"The last Olympian / Rick Riordan.","","Riordan, Rick","Titans Mythology Juvenile fiction, Animals Mythical Juvenile fiction, Monsters Juvenile fiction, Mythology Greek Juvenile fiction","Disney/Hyperion Books,","2009"
"6","Physical","Horizon","BOOK",2017,1,20,"Percy Jackson & the Olympians. Book one, The lightning thief : the graphic novel / by Rick Riordan ; adapted by Robert Venditti ; art by Attila Futaki ; color by José Villarrubia ; layouts by Orpheus Collar ; lettering by Chris Dickey.","","Riordan, Rick","Mythology Greek Comic books strips etc, Camps Comic books strips etc, Friendship Comic books strips etc, Fathers and sons Comic books strips etc, Poseidon Greek deity Comic books strips etc, Hades Greek deity Comic books strips etc, Zeus Greek deity Comic books strips etc, Cartoons and comics, Graphic novels, Fantasy comic books strips etc","Disney/Hyperion Books,","2010"
"7","Physical","Horizon","BOOK",2017,1,27,"The House of Hades / Rick Riordan.","","Riordan, Rick","Monsters Juvenile fiction, Mythology Greek Juvenile fiction, Mythology Roman Juvenile fiction, Prophecies Fiction, Fantasy Fiction","Disney/Hyperion Books,","2013"
"8","Physical","Horizon","BOOK",2017,1,22,"Percy Jackson & the Olympians. Book three, The Titan's curse : the graphic novel / by Rick Riordan ; adapted by Robert Venditti ; art by Attila Futaki ; color by Gregory Guilhaumond ; lettering by Chris Dickey.","","Riordan, Rick","Mythology Greek Comic books strips etc, Artemis Greek deity Comic books strips etc, Animals Mythical, Monsters Comic books strips etc, Titans Mythology v Comic books strips etc, Mythology Greek Juvenile fiction, Artemis Greek deity Juvenile fiction, Animals Mythical Juvenile fiction, Monsters Juvenile fiction, Titans Mythology Juvenile fiction, Cartoons and comics, Graphic novels","Disney/Hyperion Books,","2013"
"9","Digital","OverDrive","AUDIOBOOK",2017,1,13,"The Hammer of Thor: Magnus Chase and the Gods of Asgard Series, Book 2 (unabridged) (Unabridged)","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Books on Tape","2016"
"10","Digital","OverDrive","EBOOK",2017,1,10,"The Battle of the Labyrinth: Percy Jackson and the Olympians Series, Book 4","","Rick Riordan","Mythology, Young Adult Fiction","Disney Digital Books","2011"
"11","Digital","OverDrive","EBOOK",2017,1,11,"The Red Pyramid: The Kane Chronicles, Book 1","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Disney Digital Books","2011"
"12","Digital","OverDrive","AUDIOBOOK",2017,1,13,"The House of Hades: The Heroes of Olympus Series, Book 4 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2013"
"13","Digital","OverDrive","EBOOK",2017,1,12,"The Sea of Monsters: Percy Jackson and the Olympians Series, Book 2","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Disney Digital Books","2011"
"14","Physical","Horizon","BOOK",2017,1,18,"The red pyramid / Rick Riordan.","","Riordan, Rick","Brothers and sisters Fiction, Seth Egyptian deity Juvenile fiction, Voyages and travels Juvenile fiction, Family secrets Juvenile fiction, Secret societies Juvenile fiction, Egypt Juvenile fiction","Disney/Hyperion Books,","2010"
"15","Physical","Horizon","BOOK",2017,1,21,"The son of Neptune / Rick Riordan.","","Riordan, Rick","Gaia Greek deity Juvenile fiction, Hera Greek deity Juvenile fiction, Neptune Roman deity Juvenile fiction, Camps Juvenile fiction, Mythology Greek Juvenile fiction, Mythology Roman Juvenile fiction, Quests Expeditions Juvenile fiction, Fantasy Fiction","Disney/Hyperion Books,","2011"
"16","Physical","Horizon","BOOK",2017,1,36,"The sword of summer / Rick Riordan.","","Riordan, Rick","Chase Magnus Fictitious character Juvenile fiction, Mythology Norse Juvenile fiction, Homeless children Juvenile fiction, Quests Expeditions Juvenile fiction, Mythology Norse Fiction","Disney Hyperion,","2015"
"17","Physical","Horizon","BOOK",2017,1,11,"Percy Jackson's Greek heroes / Rick Riordan ; illustrated by Jon Rocco.","","Riordan, Rick","Mythology Greek Juvenile fiction, Gods Greek Juvenile fiction","Disney-Hyperion,","2015"
"18","Digital","OverDrive","AUDIOBOOK",2017,1,20,"The Hidden Oracle: Trials of Apollo Series, Book 1 (unabridged) (Unabridged)","","Rick Riordan","Mythology, Young Adult Fiction","Books on Tape","2016"
"19","Physical","Horizon","BOOK",2017,1,27,"The mark of Athena / Rick Riordan.","","Riordan, Rick","Mythology Roman Juvenile fiction, Mythology Greek Juvenile fiction, Giants Juvenile fiction, Camps Juvenile fiction, Hera Greek deity Juvenile fiction, Gaia Greek deity Juvenile fiction","Disney-Hyperion Books,","2012"
"20","Physical","Horizon","BOOK",2017,1,13,"The throne of fire / Rick Riordan.","","Riordan, Rick","Mythology Egyptian Juvenile fiction, Brothers and sisters Fiction, Voyages and travels Juvenile fiction, Adventure stories, Magic Fiction, Fantasy Fiction","Disney/Hyperion,","2011"
"21","Digital","OverDrive","EBOOK",2017,1,10,"The Hidden Oracle: Trials of Apollo, Book One","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2016"
"22","Digital","OverDrive","AUDIOBOOK",2017,1,10,"The Son of Neptune: The Heroes of Olympus Series, Book 2 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2011"
"23","Digital","OverDrive","EBOOK",2017,1,17,"The Lost Hero: The Heroes of Olympus Series, Book 1","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Disney Digital Books","2011"
"24","Physical","Horizon","BOOK",2017,1,22,"The blood of Olympus / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Mythology Roman Juvenile fiction, Gaia Greek deity Juvenile fiction, Mythology Greek Fiction, Mythology Roman Fiction, Gaia Greek deity Fiction, Fantasy, Fantasy fiction","Disney-Hyperion,","2014"
"25","Physical","Horizon","BOOK",2017,1,16,"The sea of monsters / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Camps Juvenile fiction, Friendship Fiction, Fathers and sons Juvenile fiction, Poseidon Greek deity Juvenile fiction, Hades Greek deity Juvenile fiction, Zeus Greek deity Juvenile fiction, Fantasy Fiction","Miramax Books/Hyperion Books for Children,","2006"
"26","Digital","OverDrive","EBOOK",2017,1,17,"The Lightning Thief: Percy Jackson and the Olympians Series, Book 1","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Disney Digital Books","2011"
"27","Digital","OverDrive","AUDIOBOOK",2017,1,10,"The Lost Hero: The Heroes of Olympus Series, Book 1 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2010"
"28","Physical","Horizon","BOOK",2017,1,21,"The serpent's shadow / Rick Riordan.","","Riordan, Rick","Snakes Fiction, Brothers and sisters Fiction, Magic Fiction, Mythology Egyptian Juvenile fiction, Adventure stories, Voyages and travels Juvenile fiction","Disney/Hyperion,","2012"
"29","Digital","OverDrive","EBOOK",2017,1,12,"The Last Olympian: Percy Jackson and the Olympians Series, Book 5","","Rick Riordan","Juvenile Fiction, Mythology","Disney Digital Books","2011"
"30","Digital","OverDrive","EBOOK",2017,1,12,"The Sword of Summer: Magnus Chase and the Gods of Asgard Series, Book 1","","Rick Riordan","Mythology, Young Adult Fiction, Young Adult Literature","Disney Digital Books","2016"
"31","Physical","Horizon","BOOK",2017,1,29,"The lightning thief / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Fantasy Fiction","Hyperion Books for Children,","2005"
